data,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,TP,FP,FN,TN,MCC
Compas Dataset,FYP VAE,"'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",15,16,19,17,19,32,4,13,23,40,40,40,17,0,1,0,40,0,40,0,0,0,0,0,0,1,0,19,20,21,20,15
Compas Dataset,FYP VAE,"'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",14,19,19,18,19,29,6,17,21,40,40,40,18,0,1,0,40,0,40,0,0,0,0,0,0,1,0,17,19,22,21,13
Compas Dataset,FYP VAE,"'Reconstruction loss', 'KL divergence loss'",14,17,21,15,21,31,3,12,21,40,40,40,18,0,1,0,40,0,40,0,0,0,0,0,0,1,0,21,21,19,19,12
Compas Dataset,FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",14,21,19,17,20,31,4,13,18,40,40,40,25,0,1,0,40,0,40,0,0,0,0,0,0,1,0,18,22,21,18,13
Compas Dataset,FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",12,18,20,15,20,29,3,14,22,40,40,40,19,0,1,0,40,0,40,0,0,0,0,0,0,1,0,19,22,20,18,12
Compas Dataset,FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",12,17,21,16,21,31,4,13,19,40,40,40,22,0,1,0,40,0,40,0,0,0,0,0,0,1,0,20,22,19,19,11
Compas Dataset,FairBalance Bias Mitigation,{},0,2,3,1,17,27,4,1,0,40,37,40,29,0,3,0,39,1,40,0,1,0,0,1,0,3,0,3,27,37,13,0
Compas Dataset,FairMask Bias Mitigation,{},18,21,17,17,17,18,19,19,23,22,17,20,15,18,23,20,18,22,0,20,22,20,20,22,17,23,18,16,17,23,23,20
Compas Dataset,LFR,{'c': 'LFR'},6,10,15,7,16,28,5,10,9,40,40,40,24,0,1,0,40,0,40,0,0,0,0,0,0,1,0,15,24,25,16,7
Compas Dataset,No Bias Mitigation,{},40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Compas Dataset,Reweighing Bias Mitigation,{},0,0,12,2,21,31,9,1,0,40,40,40,25,0,1,0,40,0,40,0,0,0,0,0,0,1,0,10,32,28,8,0
,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
